Resource, Speed
devices/anl541b-mpr1/interfaces/vme.0, 1000
devices/anl541b-mpr1/interfaces/gr-0%2F0%2F0, 800
devices/anl541b-mpr1/interfaces/pfh-0%2F0%2F0, 800
devices/anl541b-mpr1/interfaces/pfe-0%2F0%2F0, 800
devices/anl541b-mpr1/interfaces/jsrv.1, 1000
devices/anl541b-mpr1/interfaces/sxe-0%2F0%2F0, 1000
devices/anl541b-mpr1/interfaces/sxe-0%2F0%2F0.16386, 1000
devices/anl541b-mpr1/interfaces/sxe-0%2F0%2F1, 1000
devices/anl541b-mpr1/interfaces/sxe-0%2F0%2F1.16386, 1000
devices/anl541b-mpr1/interfaces/irb.910, 1000
devices/anl541b-mpr1/interfaces/irb.920, 1000
devices/anl541b-mpr1/interfaces/irb.930, 1000
devices/anl541b-mpr1/interfaces/irb.940, 1000
devices/anl541b-mpr1/interfaces/irb.950, 1000
devices/anl541b-mpr1/interfaces/xe-0%2F0%2F0, 10000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F1, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F12, 100
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F13, 100
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F14, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F15, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F16, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F17, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F18, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F41, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F42, 1000
devices/anl541b-mpr1/interfaces/xe-0%2F0%2F0.955, 10000
devices/anl541b-mpr1/interfaces/xe-0%2F0%2F0.32767, 10000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F1.0, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F41.0, 1000
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F12.0, 100
devices/anl541b-mpr1/interfaces/ge-0%2F0%2F13.0, 100
devices/aofa-asw1/interfaces/vme.0, 1000
devices/aofa-asw1/interfaces/gr-0%2F0%2F0, 800
devices/aofa-asw1/interfaces/jsrv.1, 1000
devices/aofa-asw1/interfaces/pfe-0%2F0%2F0, 800
devices/aofa-asw1/interfaces/pfh-0%2F0%2F0, 800
devices/aofa-asw1/interfaces/irb.0, 1000
devices/aofa-asw1/interfaces/irb.909, 1000
devices/aofa-asw1/interfaces/ae10, 10000
devices/aofa-asw1/interfaces/ae10.0, 10000
devices/aofa-asw1/interfaces/ge-0%2F0%2F5, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F5.0, 1000
devices/aofa-asw1/interfaces/xe-0%2F0%2F32, 10000
devices/aofa-asw1/interfaces/xe-0%2F0%2F32.0, 10000
devices/aofa-asw1/interfaces/xe-0%2F0%2F33, 10000
devices/aofa-asw1/interfaces/xe-0%2F0%2F33.0, 10000
devices/aofa-asw1/interfaces/ge-0%2F0%2F0.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F1.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F2, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F2.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F3, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F3.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F4, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F4.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F6.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F7.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F8.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F9.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F12.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F13.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F14.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F15.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F16.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F17.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F18.0, 100
devices/aofa-asw1/interfaces/ge-0%2F0%2F19.0, 1000
devices/aofa-asw1/interfaces/ge-0%2F0%2F11.0, 100
devices/aofa-asw1/interfaces/irb.959, 1000
devices/aofa-cr5/interfaces/to_wash-cr5_sdn-a, 100000
devices/aofa-cr5/interfaces/3%2F1%2F1, 100000
devices/aofa-cr5/interfaces/to_manlan_internet2, 100000
devices/aofa-cr5/interfaces/to_manlan_internet2-v6, 100000
devices/aofa-cr5/interfaces/lag-10, 10000
